none,Teacher,Class,Reviewer,Date,Difficulty,Test,Report,Attendance,Comments
,勝山稔,中国文学史,,2011年09月20日,ど仏,あり,なし,時々あり,フツーに出てテスト受ければ浮きます。ポイントはその都度示してくれるのでしっかり押さえてテストでばっちり書けば問題ありません。2限の講義で、学食のおねえさん方のためにということでやや早めに終わってくれるため、利用者にはとてもありがたい。とにかく生徒思いの素晴らしい方です。東北大学に来たからにはこの人の講義を受けましょう、と言っても過言ではありません。それだけ偉大な方ですので、後ろのほうでべらべらしゃべったりテストで不正行為を働くなどの蛮行は、当たり前ですがしないようにしてください。
,森,芸術の世界,,2011年09月20日,仏,あり,時々あり,あり,なかなか優しい人です。私は授業内容を何一つ理解していませんが浮きました。テストはルネサンスについての印象をかけ的なやつでそんなにテストっぽい感じじゃなかったです。ただ、女子生徒には結構からんでくるので、いやなら後ろのほうに座りましょう。
,芥川和雄,解析学A,,2011年09月20日,仏,あり,なし,あり,出席は毎回とる。レポートは無し。テストは教科書の問題ができれば大丈夫。難しいことよりも基礎の定着を目指している感じを受けた。テスト範囲も教えてくれるし，授業も楽しい優しい先生。
,平山　祥朗,物理学A,,2011年09月20日,仏,あり,あり,あり,小テストの直しを提出するレポートあり。しかしそのレポートを提出することにより、テストでの失点分の半分が評価に加算されるという謎の仕組みがある。授業はあまり変哲はない。期末をよほどしくじらない限り、単位を落とすことはないだろう。
,小林,解析学D,,2011年09月20日,並,あり,なし,なし,実に並な授業だった。中間と期末がある。
,小川,線形代数A,,2011年09月20日,ど仏,あり,なし,あり,鬼仏表を見てしまったらしく、今年から試験問題を難しくした。しかし、掃き出し法さえ知っていれば２完は可能なうえ、授業中に強調した定理を記憶していれば後半の難問もある程度は対応できるくらいの内容であった。ともかく、毎回出席を兼ねた小テストが行われるし、更に全出席していれば単位が取りやすくなるとのことなので、出席だけはしておいたほうが良いかも。
,川辺　博,基礎ロシア語,,2011年09月19日,鬼,あり,時々あり,あり,毎回の授業で行われるテストがキツい。。。というかついていけない
,やなぎさわ,体と健康,,2011年09月18日,ど鬼,あり,なし,あり,完全なるクソ。セクハラしてくるまじない
,栗林,言語学,,2011年09月18日,鬼,あり,,あり,先生自体は優しい人。でも、期末テスト一本勝負と言っておきながら毎回出席をとっていた。保険になるのかな？？ちなみにテストは鬼。論述５問で、教科書暗記しないと解けない。。。
,森山,英語Ａ１,,2011年09月18日,ど鬼,なし,あり,あり,レポートは2回。テストなし。なぜ、鬼かというと、話が通じないから。言ってること不明。英語とかいう前にね
,小室,化学Ａ,,2011年09月18日,やや仏,あり,時々あり,あり,毎回ミニットペーパーによる出欠確認がありました。レポートは3回くらいで、どれもそんなに難しくない。テストは期末のみで、授業をしっかり聞いていて、テスト対策用の演習問題をしっかりこなせば普通に浮きます。いい先生。
,中森亨,地球システム科学,,2011年09月18日,並,あり,なし,あり,一回目の授業で評価や単位についての説明あり。注意して聞いておきましょう。僕は授業は1/2も出ませんでしたが、中間（記述1問）をしっかりやったおかげか期末（記述4問）は死んでてもBで浮きました。ちなみに試験は「何を参照してもイイ」のですが、授業プリント以外で役立つものはあまりないでしょう。授業の環境などは良くないので、過去問さえ手に入るのなら出席する意味はないと思います。
,佐藤俊彦,心理学,,2011年09月18日,ど仏,あり,なし,あり,７月の授業全部休講、しかもノー勉でAAとれた。
,池田・堀・佐藤ほか多数,学生生活概論,,2011年09月17日,ど仏,あり,なし,あり,授業でてなんか書いて紙出してればまず落とすことはない。テストは前のレジュメをパラパラ見て受ければノリで浮く。とにかく単位がとりたい方はおすすめ。ただでさえクソ楽なので、遅れてきたりおしゃべりしたりなんてことはしないようにしましょう。
,前忠彦,面白考,,2011年09月17日,並,あり,あり,なし,みなさんの評価は悪いようですが面白いですよ。質問にも丁寧に答えてくれるし。　必修科目よりもちゃんと勉強したかも
,川平芳夫,英語B1,,2011年09月17日,ど仏,なし,あり,あり,仏を通り過ぎてもうお釈迦様レベル。この授業で単位をおとしちゃう愚か者はすぐに出家した方が良い。川平先生自身も非常に良い人で授業中に寝るのは大変申し訳ないが、授業がお坊さんの説法なみのつまらなさなので仕方がない(´・ω・｀)
,岡田,英語Ｂ１,,2011年09月17日,やや仏,時々あり,なし,あり,パソコンで授業?が行われる。毎回問題を解いてきて先生が解説するという流れ。TOEFLに則った問題、つまりリスニングとかあって面倒。だいたい一カ月ほどでみんな予習してこなくなった。三回に一回やるテストとファイナルテストで成績が決められる。何となく受けてたけどＡくれた。意外と優しい
,高瀬,線形代数Ａ,,2011年09月17日,ど仏,あり,なし,なし,先にテストを受けた他学科の子に問題借りたら同じ問題が出た。テストは期末のみ、持ち込み可。似たような問題しか出さないので一週間もあれば事足りる。神としか言いようがない。
,前山,化学A,,2011年09月17日,やや鬼,あり,なし,なし,授業は意味不なので出る必要なし。適当に参考書買ってやればいい。テストは意味わからんが適当にやったら浮いた。
,日合文雄,線形代数学A,,2011年09月17日,仏,時々あり,時々あり,あり,過去の鬼仏表で「奴の講義を受けるのは自殺行為」というのを見てびくびくしていましたが、実際受けてみると確かに説明はわかりにくいけどテストは簡単で普通にAでした。
,加藤雅恒,数学物理学演習Ⅰ,,2011年09月17日,ど仏,あり,あり,あり,毎回授業で演習問題を解いて提出することになるが、演習問題はほとんど教科書から出されるので前もって予習しておけば授業開始から30分くらいで退出することも可能。期末テストは過去問が配布され、パターンが全く一緒なので余裕で満点を狙える。
,川辺博,基礎ロシア語,,2011年09月16日,ど鬼,あり,時々あり,あり,めっちゃ厳しい！全体にとらんほうがいい！朝鮮語にすればよかった！まじで後悔orz
,宮本,言語表現の世界,,2011年09月16日,仏,なし,あり,なし,レポートさえ出せば浮くようだ。たまにパンとか飲み物をくれる。だからいい人。
,石幡直樹,英語A1,,2011年09月16日,やや仏,あり,なし,あり,授業は楽。ただ、成績は相対評価で、テストでそこそこだといい成績は得られないようである。
,飯塚,物理学A,,2011年09月16日,ど鬼,あり,あり,あり,授業が意味不明のうえレポートは異様に難しく、しかも１問でも間違うと再レポになり点数が減っていく。テストは例題から出すと言っていたのに嘘だった。彼の授業から得たものは何もない。
,黒瀬,経済経営数学基礎,,2011年09月16日,並,時々あり,,,普段は正直つらいが期末のテストは練習問題きっちり解けるようにしとけば余裕。
,横川,経済と社会,,2011年09月15日,ど鬼,あり,なし,なし,授業は眠くなるが、内職可能。試験はゲキむずだが、何かしら関連したことを書いて解答用紙を埋めれば、その努力は認められて浮く。
,柳沢,生命科学C,,2011年09月15日,やや鬼,なし,あり,あり,普通に出席してミニットペーパー書いてれば浮く。席は全席指定。前のほうはたまにさされる。
,横川,経済と社会,,2011年09月15日,やや鬼,あり,なし,なし,テスト一発勝負です。全問記述で結構難しく、授業もあまり面白くないので、この教授の教えてくれる分野に興味が特にないならほかの教授をおすすめします。テストはわからなくても自分が知っている範囲でそれっぽいことをとりあえず書いておきましょう。それでＢがもらえました。
,岡田,英語B1,,2011年09月15日,やや仏,あり,なし,あり,過去の授業評価だとボロクソに言われてるけど、別に悪い人じゃない。
,中山,基礎生物化学,,2011年09月15日,並,あり,あり,あり,出席やレポの割合はよく分からないが試験しっかりやれば無問題。ただプリントや授業ノートしっかりやらないと高い評価は難しいです、記述や語句を満遍なくおさえましょう。暗記重視なんで理系にはキツいかも。
,落合,英語ｃ１,,2011年09月15日,仏,あり,なし,あり, かなり出席とグループワークの配点が高く、期末テストが25％しかないので個人の実力が出しにくい。ただテストはかなり簡単だし、毎回の予習も十五分くらいで終わるので単位がほしい人にはお勧め。
,和泉,数学物理演習１,,2011年09月15日,やや仏,あり,あり,あり,毎度おなじみ数物演習。１回の授業で演習問題を三問解き、それが出席代りとなる。期末テストが最後にあるが、持込可能な上、簡単な問題が多い。とりあえずほとんどの人がA以上取れると思うよ。
,今野,化学工学基礎,,2011年09月15日,やや鬼,あり,時々あり,なし,過去問通りにはいかなかった今回の試験、微妙な評価が多かったはず。しっかり勉強すれば浮くが高評価狙うならマジでやらないとキツい。板書ミスがちょくちょくあってイラっときました。
,柳沢,生命科学C,,2011年09月15日,仏,あり,なし,あり,楽。
,新堀,数理解析学,,2011年09月15日,仏,あり,あり,あり,ほとんど毎回授業終わりに問題が出され、それが出席代り。ぶっちゃけ期末一問も解けなかったけど浮いてた。すごく穏やかな先生で授業はわかりやすいが、期末は難問ぞろい。
,出口,情報科学基礎論,,2011年09月15日,並,あり,なし,なし,期末一発勝負。今年は去年の問題から大問２つが出題された。最後の授業に出席するとすべての授業の要点のまとめをもらえる。たぶんやさしいひと。
,上野,数学１,,2011年09月15日,仏,あり,なし,なし,試験を一ヶ月ごとに３回行う。内容はどれも教科書の問題レベルであり、過去問があれば楽勝。ただ制限時間が短いわりに計算量が多く、AAをとるのは難しい。
,琵琶,数学２,,2011年09月15日,仏,あり,,あり,中間が悪いと救済レポート、期末が悪くても再試を用意してくれているやさしい先生。毎回出席をとる。再試は問題がまったく一緒だった。なお、指定の教科書は異常にわかりづらい。
,芥川,解析学C,,2011年09月15日,仏,あり,なし,時々あり,中間、期末とときどきの出席で評価される。試験はどちらも教科書の例題・演習題がそのまま出題される。問題は簡単であり、結構やばくても浮かしてくれる。ただ、試験がどちらも満点でもA評価しかくれなかたったりでAAは厳しい。
,柳澤 輝行 他 ,生命科学Ｃ,,2011年09月15日,やや鬼,時々あり,なし,あり,毎回違う人が、違う分野の話をする講義。毎回小テストがある。毎回出席して小テストも真面目に解いたのにＣでしたorz当初は期末テストある予定だったみたいだから、来年以降は不明。
,横川 和男,経済と社会,,2011年09月15日,鬼,あり,なし,なし,出席なしのテスト100％。とにかく眠い。内容は難解。テストは激ムズ。マジで経済やりたい人以外は取るべきでない。
,石田 正典 他 ,自然界の構造,,2011年09月15日,ど仏,時々あり,時々あり,あり,毎回違う人が、違う分野の話をする講義。ちゃんと出席して、稀に出るレポートとか出せばＡ取れる。取るべき。
,川平芳夫,英語AⅠ,,2011年09月15日,ど仏,なし,なし,あり,この方の評価は「ど仏」では足りない。「神」くらいの称号を与えたいくらいである。授業も丁寧でいい人過ぎて申し訳なくなっちゃうわイヤンイヤン！　出席は毎回とり、テストやレポートはないが、わからないところを質問すると評価が上がるらしい。進んで質問しよう！　川平先生ありがとうございました！
,黒瀬,経済経営数学基礎,,2011年09月14日,仏,あり,なし,なし,テスト一発勝負。しかし問題がものすごく簡単だった。この教科を切ったり詰んだりするやつの意味が分からない。詰んだやつは本当にとんぺーか？同じとんぺーである私はそんなやつがいないことを祈る。
,河村和徳,政治学入門,,2011年09月14日,鬼,あり,なし,なし,テスト100％。任意のレポート提出で最大10点加点。昨年度不届き者がいたらしく今年度は持ち込み不可になった。テストは記述問題が主。しかしながら政治とはいってもこの講義では具体的な問題を扱うというよりは抽象的なイシューや学説を扱うため、これを記憶してさらに自分で再構成して記述するのはなかなか難しい。難易度は下げたようだが、直接尋ねられる形式ではないため、やはり持ち込み不可であの試験は厳しい。ただ、毎時間出てちゃんと話聞いてノートとってればそれなりに勝負できる。単位目的の人は正直お勧めしません。
,高浦,経営原理,,2011年09月14日,鬼,あり,なし,なし,たまにある感想みたいなやつが優秀だとプラス点がもらえるがごくわずかである（２点？）試験は５択でマークシート方式。過去問がないと絶対浮かないので先輩にもらって過去問研究するしかありません。
,西出,経営組織,,2011年09月14日,やや仏,あり,あり,時々あり,テストは穴埋め式でプリントの細かなとこから出るので鬼。でもレポート出したからかぎりぎりで浮いてたのでやや仏。たまにアロハシャツで来る優しい人。
,三宅,ミクロ経済分析,,2011年09月14日,仏,あり,なし,なし,テスト一発勝負(中間テストとかあったけど)普段の授業はわけわからないので出てもいいことありません。でもテスト前は予想問題(というかほぼ試験問題)を配ってくれるし解説もしてくれるから仏。たまに興奮しながらしゃべる人。板書が見にくい
,中森,地球システム科学,,2011年09月14日,仏,あり,なし,あり,中間テストと期末テスト(どちらも持込可)があり、授業ノートあるいはPPTのデジカメ写真があれば無勉でもBは固い。試験中に携帯でwikiっても大丈夫。　ただし!下の人の言う通り、中間テストに出席しないと単位取得が厳しくなるようなので、中間の日だけはしっかり確認しておこう。その意味で出席を「あり」にした。
,芥川,解析,,2011年09月14日,仏,あり,なし,時々あり,授業はよくわからないが、優しい先生です、はい。
,石幡直樹,英語A1,,2011年09月14日,ど仏,あり,なし,あり,一夜漬けすらできず「こりゃ落ちた」と思ってたら浮いてた。仏と言うよりネ申。
,川平芳夫,英語B1,,2011年09月14日,ど仏,なし,なし,あり,出席のことを筆頭にシラバスに細々としたことがたくさん書かれていたので神経質で怖い人なのかと、自らの不運を嘆き警戒していたが、最初の授業に行ったら一瞬でその不安が吹き飛んだ。やばいくらいいい人です。申し訳なく思いました。予習さえしていけばあと楽だしテストないし授業も早く終わるし、まさにど仏。今になって思えば欠席5回以上で単位もらえないって全然厳しいことじゃなかったな…評価は相対評価で毎回出席して予習もある程度していけばＡは固い。正直テキスト難しくてわからんとこもあったが頑張って予習して出したら毎回出席してたこともあってＡとれたぜよ。ただ友人は4回休んだにも関わらずＣ評価にはならなかった。予習も授業中の聞き取りも完璧にこなしていただけに、毎回出ていればＡＡ確定だろう。とにかく授業に出れば報われます。そして課題頑張ればこれまた報われます。楽だし評価も正当だしとても素晴らしいです。これからもがんばってください川平先生。みんな大好き川平先生。お世話になりました川平先生。
,石田 正典,自然界の構造,,2011年09月14日,ど仏,時々あり,時々あり,あり,レポートを一度も提出せず、授業の後半は全く出席しなかった僕に単位をくれてありがとう。まともな人ならA取れると思うよ。
,深澤,科学と情報,,2011年09月14日,ど鬼,あり,あり,あり,授業は鬼先生自体はいい人かもしれないけど、その他は鬼
,長谷　理恵,英語A1,,2011年09月14日,仏,あり,,あり,近年仏と化しているようだ。他の人も書いてるように、授業は面白くはないが、たまに説教を真面目に考えてみると、世界観が広がった感じになる。英語というよりは総合的な社会の授業に近かった。ちなみに一度だけ謎の現代社会の簡単なレポートが課された。とにかく出席が命。最後の期末試験は難しく出来は最悪で、再履を考えていたが、なんだかんだでBで浮かせてくれたので仏。そしてあいかわらずファッションセンスはAA。
,中森　亨,地球システム科学,,2011年09月14日,鬼,あり,なし,あり,次回出席をとるといって中間テストをした。それに出てなかったため、単位は無理だと言われた。出席ってそういう意味かよ！ps.友達から聞きましたが後の授業で中間受けていないときびしいかなという発言があったらしい。どういうことだ！履修放棄したのに！このぉぉ！
,岩佐,物理Ｄ,,2011年09月13日,鬼,あり,あり,なし,授業は意味不明で毎回のレポートは腹パンレベル。試験も物理が得意ならいいが、苦手な人はマジでしにたくなる　
,石田　他,自然論（自然界の構造）,,2011年09月13日,ど仏,時々あり,時々あり,あり,いろんな教授が授業するため、評価方法はまちまち。出席onlyの教授もいれば、レポート課題を出す教授もいる。ちなみに今セメはレポートは二回分だけ。テストは一回でテストと言っても、選択式で、二択なためなんとかなる。少なくとも３回は寝坊で授業に出ませんでしたが、Aで浮きました。
,和田　祐一,英語A１,,2011年09月13日,仏,あり,あり,あり,授業はかなり楽。予習の必要が皆無なのが素晴らしい。やさしめの長文を読んで問題解くだけ。三回あるレポートを確実に提出して、授業のプリントを復習して期末に臨めば、A以上の評価は見込めるだろう。
,雪江　明彦,解析,,2011年09月13日,やや仏,あり,なし,なし,ハーバード大学で博士号を取った人。授業は至って普通だが。三回ある小テストの比重がやや大きいので真面目にやったほうが無難。期末はそこまで難しくはなく、60点を割るようでも単位はくれるようだ。
,飯塚　哲,物理A,,2011年09月12日,鬼,あり,あり,あり,出席30レポート5点×6回テスト40 授業は意味不明で、とにかく進む。更にレポートがむずい。試験は全て例題から３ー４題そのまま出すと初回に言われてたが、結局改訂された上に語句問題まで出題された。多分落ちたので来年別な人のを取ろうと思う。
,藤田,英語,,2011年09月12日,やや仏,あり,あり,あり,楽勝でAA
,雪江,解析学A,,2011年09月12日,仏,あり,なし,なし,3回の小テストがあり、　小テスト:期末=2:3　だからテスト前以外も気を抜けない・・・けど、小テスト1回休んでかつ期末テスト43/100だった俺でも浮いたくらいだからそこまで厳しくはないはず
,ワーナー,英語C1,,2011年09月12日,仏,なし,なし,あり,非常に楽。毎週出される英作文の課題だけ面倒くさいが、それを8割くらいやって毎回ちゃんと出席してればAは堅い。休講が５回くらいもあった。もしかしたら彼は生徒に無償の愛を降り注ぐキリストの生まれ変わりかもしれない・・・
,明日香,科学とエネルギー,,2011年09月11日,仏,なし,あり,なし,未来妄想文オンリー内容は授業内容シカトでおkでも字数多くてキツイやってる途中で絶対恥ずかしくなると思う
,中森　享,地球システム科学,,2011年09月11日,仏,あり,なし,なし,授業中に「私にはよくわかりませんけれども」というセリフをよく言う。テストは中間期末の二回。両方出席しないとマズイことに。テストは過去問とほぼ同じなので過去問があれば余裕。
,岩佐,物理D,,2011年09月11日,仏,あり,時々あり,,授業は、はっきり言って意味不明。テストは授業のみでは理解できないが教科書を読んで問題を解けばAAもとれる難易度。
,佐野・寺本・落合・坂巻・大河原,映画に見るエスニックマイノリティーの現在,,2011年09月11日,やや仏,あり,時々あり,あり,映画見て、感想とか書いて、セメスタ終わりにテストあって…って感じの授業。結構面白かったよ。テストは持ち込み不可で論述です。先生も面白い人多い。大河原先生とかいいキャラでした。後は、佐野先生！！めっちゃいい人。この人の韓国映画の授業は絶対取るべし。寺本先生が、ちょっと、怖いかもね(笑)
,藤田博,英語A１,,2011年09月11日,並,あり,あり,あり,毎回英語の和訳のレポートが出て、その提出が出席の代わりになります。テストは1日勉強すればそれほど難しくないです。評価は妥当です。日本語が英語っぽいので注意。
,矢田,基礎中国語,,2011年09月11日,仏,あり,なし,あり,授業眠くなっちゃうときもあるけど、先生はいい人だよ。中間テストとか２回ぐらいあったけどそんなに難しくなかった。いい人。
,深澤百合子,科学と情報,,2011年09月11日,ど鬼,あり,あり,あり,ヘタレじゃなくてもきついと思うｗｗｗレポートとかテストよりも、授業内容つまらんのが一番キツイ。何か講義というよりか研究内容の発表みたいだから単調で飽きる。考古学に興味ある人ならそれなりに楽しいと思うけどさ。この授業を取っていた自分と自分の周りの友人たち多数はヘタレなのでキツかったね(笑)まあ、レポートA4５枚と論述の持ち込み不可のテストと毎回の出席兼授業内容要約テストをこなす自信があって、かつクソつまらない眠い授業を耐えられる物好きでヘタレじゃない方は受けてみたら？ｗｗｗ一般の学生にはおススメしないけどｗｗｗ
,石坂公一,基礎ゼミ（都市計画）,,2011年09月11日,並,なし,あり,なし,グループ分けしてグループ単位での発表が３回あって面倒といえば面倒だけど、教授の話を聞くというのはあまりなくて、グループで発表資料作るのがメイン。ただし、突っ込みは手厳しいので、テキトーにやったり、テキトーな発言をすると恥をかく。それと住宅地見学に１回行かされる、面倒だけどまあまあ有意義かも。評価自体は甘いし、出席は取らない。
,藤田博,英語Ａ１,,2011年09月10日,ど鬼,あり,あり,あり,しゃべり方が児玉清。
,中森,地球システム科学,,2011年09月10日,鬼,あり,なし,時々あり,たまたま一回休んだ時に出席をとっていて、その授業に来なかったら単位をやらないといわれた。テストは持ち込み可能だが、授業プリントを持ち込んでもよくわからない。
,前忠彦,植物面白考,,2011年09月10日,並,あり,あり,あり,出席とミニット＆レポートが成績の大半を占め、テストは2割～3割程度。テストは持ち込み可であるにも関わらずさっぱりわからない問題もある一方、「点数をあげる問題」もあり、したがってうまいこと出席して指定通りにレポートをちゃんと書けば単位取得自体はそんなに難しくない。実際、教授も基本的に落とそうとは思っていないとのたまう。また、教授はすごく温厚で優しく、親しみやすい方である。だがこの講義で最も触れねばならないことは、おそらく大半の生徒が講義内容を理解していない、いや、むしろ理解できないということだ。その内容は高度に専門的で、とてもじゃないが般教の、しかも総合科目の講義とは到底考えられない。専門用語を延々と聞き、どんなに多くの学生にとって理解不能なあの苦しい授業時間に耐えられる、あるいは植物（とりわけ植物の光合成）について大きな興味を持っていて、大学で、しかも般教で是非ガチで勉強したいという鉄のように固い強い意志を持ち合わせているなら取ってもいいと思うが、単に単位取得が目的ならば正直お勧めできない。ただ、授業内容はど鬼そのものだが、単位取得という点に関してのみ言えば特別難しいわけではないので評価は「並」とした。
,日合,線形代数A,,2011年09月10日,並,あり,時々あり,あり,説明があまりうまくなく声が聞き取りづらいが、板書と時々出されるレポート課題をちゃんとやっておけば問題ない。テストもそれほど難しくない。
,前山,化学Ａ,,2011年09月10日,やや鬼,あり,なし,あり,とにかく説明が分かりにくい。教科書指定もされず、90分間ただ板書するのみ。ただ、期末試験は過去問が事前に配布されほぼ同じ問題が出されるので単位を取るだけなら容易かもしれない。
,岡本,物理A,,2011年09月10日,鬼,あり,なし,あり,何を言ってるのかさっぱりわからない。また何度も小テストがあるので下手に休めない。
,藤田,英語A1,,2011年09月10日,やや鬼,あり,あり,あり,授業の説明は丁寧でわかりやすく、レポートの添削も丁寧だし、教授の雑談はつまらないこともない。テストは暗記問題があるけど難しくない。問題は出席の取り方で、申告しないと欠席数が二倍で数えられてしまい試験が受けられなくなってしまうことがあるので注意。必ず出席できるのなら取ることをすすめます。
,藤田　博,英語A1,,2011年09月10日,やや鬼,あり,あり,あり,
,村木,英語Ａ１,,2011年09月10日,仏,なし,なし,あり,授業の初めに単語テストがある。そして授業では教科書の問題を解く。どちらも予習してくれば、ほぼ満点が取れると思う。教科書の問題はそれほど難しくはないので予習なしで授業中だけやってもそれなりの点は取れる。
,照井,統計学入門,,2011年09月10日,並,あり,なし,なし,まあまあ分かりやすい。試験範囲をしっかりやれば、浮く。試験問題も易しい。
,佐野正人,韓国映画をみよう,,2011年09月10日,やや仏,なし,あり,なし,給料ドロボーとはこいつのことだね。生徒に質問求めるくせに答えらんねぇの(笑)一緒に映画見てちょちょっと感想書いて出すだけだしクソ楽だよ。ただたまにランダムに指名してくるのがうざいっす。
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,あり,なし,あり,この人はねー死んだらい～よorzﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋﾀﾋ
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,なし,なし,あり,裸で土下座しろ。どうせ家に居場所ないんだろ？
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,,,,キモいらしいよ。俺授業受けてないけど(笑)
,米倉 等,歴史と人間社会 東南アジア,,2011年09月10日,並,あり,なし,なし,授業自体は面白いので、東南アジアに興味がある人なら取って損はない。しかも出席は取らないので、テスト一発勝負。ただテストは論述一本なので、勉強しないといけない。問題を教えてもらえるというのは、今年はなかったので、前の鬼仏表は参考にならない。問題は、東南アジアの社会と文化について書け。B5両面。ただ、昨年と違ったらしいので参考程度に。
,黒瀬,経済経営数学基礎,,2011年09月10日,鬼,,,,ある生徒に助けてと相談を受けて、どんなもんかと一度講義に参加してみました。こんなこと言いたくないけど、同じ大学の教授とは思えない。恥ずかしい。
,佐野,韓国映画,,2011年09月10日,仏,なし,あり,あり,らくだけどあいつの選ぶ映画センスない質問に答えられた試しがないあれで給料もらうとかゴミ
,足立美比古,英語A1,,2011年09月10日,ど仏,あり,なし,あり,英語なのにテストの比率が高い。教材は激ムズだし理解できないけどテストは簡単なとこから出してくれる。授業中指されるが、｢よしゅうしてません♪｣て言えば飛ばしてくれる。だから、授業全部サボってもいけるさ。
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,なし,なし,あり,は？　地獄へ落ちろ。　
,照井,統計学,,2011年09月10日,やや鬼,あり,なし,なし,テスト範囲おかしくね
,岩崎祥一,心理学,,2011年09月10日,並,あり,あり,あり,身長高い。初めて見たときびびるよ
,黒瀬一弘,経済経営数学基礎,,2011年09月10日,ど鬼,あり,なし,なし,こいつは、･･･あり得んかった!!!白豚を従えてるからって調子乗りすぎだよ(^^)/わら　こんな人間に出会うなんて、私は不幸せ者でした(>_<)　今度同じ空間に来やがったら、シネシネコウセンをくらをせてやる!!!　クソ
,くろせ,経経数,,2011年09月10日,ど鬼,時々あり,なし,なし,うーん、キモいね♪｢白豚｣なるTAを従えている。この白豚がまた黒瀬に忠実！アメリカだかどっか行くらしいけどダメダメすぎて飛ばされたんだろ♪♪バイバーイ(-_-)/~~~帰ってくんなよ！
,黒瀬一弘,経済経営数学基礎,,2011年09月10日,ど仏,あり,なし,なし,私、黒瀬一弘は馬鹿です。皆さん、本当にごめんなさい。実は数学苦手なんです。。。実際前の方に座ってた生徒さんの方が頭良くてはビクビクしながら授業してました。でも私はカンニングは許しません!!カンニングした生徒は単位不可にしますよ!!（怒）
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,あり,なし,あり,ありえないほどのクズまじこいついじめられてただろ同じ空気を吸いたくないだれかこんど闇討ちかけようぜいやまじで
,やなぎさわ,体と健康,,2011年09月10日,ど鬼,あり,なし,あり,くそまじ死ねいかれてんじゃねえの？早く死ねよぜってぇお前友達いねーだろ
,足立美比古,英語A1,,2011年09月10日,やや仏,あり,なし,あり,70代じじい教材難すぎ訳ききとれないくそめんどい他組履修したほういいなんも楽しくないあいつまじ何くそが
,黒瀬一弘,経済経営数学基礎,,2011年09月10日,ど鬼,時々あり,なし,なし,まず頭が悪い(●´∀｀●)喋るの下手(●´∀｀●)これを黒瀬が見ていたら言いたいことがある(^^)/あなたいらない…どうやって教授になったの??もっと勉強してから授業しろカス
,黒瀬,経済経営数学基礎,,2011年09月10日,鬼,あり,なし,なし,こいつはクソゴミクズ生きてる価値なしきちがい頭おかしい眼鏡もセンスない同じ空間にいると吐き気を催すまじで死んだほうがいいと思う
,江藤裕之,英語A1,,2011年09月09日,仏,あり,あり,なし,修士論文の書き方を記したテキストを使用。高校までの英語に飽き飽きしている方にぴったり出席はとらないし、テストも持ち込み可かつ答えは全て教科書に書いてあるので一回も出て無くてもとけます。話はおもしろいしためになるので、他組できるならお勧め。
,岡本,物理A,,2011年09月09日,仏,あり,なし,あり,力学をメインに学習するが、内容は意味不明。。。。だが、先生はとてもいい人で出席30%、期末テスト50%、小テスト20%という学生思いの評価方法。期末・小テストは事前に配られる演習問題の類題が出題されるので１週間前にそれなりに勉強すればたぶん浮く。ちなみに、テストでは自筆のノート持参可！
,岩佐,物理D,,2011年09月09日,ど仏,あり,あり,なし,レポートはあるがテストだけで満点取れるようになってる数学得意なら余裕
,大内孝,法と歴史Ⅰ,,2011年09月09日,並,あり,なし,なし,毎年５割落とすなど厳しい評価で定評があるものの、授業では大切なところや禅宗の授業内容を何回も繰り返し丁寧に説明してくれる印象があった。学生を挑発する発言をしてくるが、挑発に乗らず、毎回講義に出て話を理解し、きちんとノートを取っていれば、落とすことはないはず。
,猪熊浩子,基礎ゼミ（財務諸表から見る日本企業）,,2011年09月09日,やや仏,なし,あり,あり,中間発表、本発表、レポートの３つがあり面倒だった。「財務諸表」と謳っているがあまり財務諸表についてはやらない。１２００字詰めで４枚というレポートを課され、４４００字で提出したがＡをいただいた。
,西・石渡,地球科学概論,,2011年09月09日,並,あり,なし,あり,石渡のテストが謎過ぎるが、それ以外はまったく問題ない。西先生はおもしろいし、テストも持ち込み可。地学選択者じゃなくても普通に浮く。でも石渡のテストは謎。授業も大変興味深いものである。でもでもやっぱり石渡のテストは謎。
,平川,江戸時代の日本,,2011年09月09日,仏,あり,なし,あり,出席と学期末のテストで評価。ただし、テストといっても事前に与えられたテーマに関してレポートを用意しておき、本番にそれを解答用紙に書き写すだけである。しっかり出席して、テストで先生を褒めちぎればBはもらえる。ｗ
,黒瀬,経済経営数学基礎,,2011年09月09日,やや仏,あり,なし,なし,小テストとテストがある。難しいが、あきらめずに最後までやれば単位はくれる。ふてって切るのだけはお勧めしない。小テストは抜き打ちのこともあるので、普段からの学習が大事。
,照井,統計学,,2011年09月09日,やや鬼,あり,なし,なし,テスト一発勝負。形式は事前に与えられた課題について各自でまとめておき、それを本番に書くという暗記ゲー。普通にやれば単位は浮くが、評価基準が謎過ぎるため、よい成績を狙うのは難しい。
